property_name,room_count,room_type,city,country,locality,state
Treebo Turtle Beach Resort,83,Standard Room AC,Goa,INDIA,Morjim Beach-North Goa,Goa
Turkish Cottage,12,Deluxe Room,Dharamshala,INDIA,Bhagsunag,HimachalPradesh
Hotel Midway Residency,18,Deluxe A/C,Gandhinagar,INDIA,Infocity,Gujarat
OYO Villas Morjim Beach 2BHK,15,Standard Room AC,Goa,INDIA,Morjim Beach-North Goa,Goa
Vista Rooms at Calangute Circle,11,Standard Room,Goa,INDIA,Calangute Beach-North Goa,Goa
Park Prime Durgapur,25,Single A.C Room,Durgapur,INDIA,GT Road,WestBengal
Hotel View Side,16,Deluxe,Gangtok,INDIA,Paljor Stadium Road,Sikkim
The Fern Greenleaf Resort,70,Wintergreen Room,Ganpatipule,INDIA,Ganpatipule,Maharashtra
The International Centre Goa,42,Standard Double Room,Goa,INDIA,Dona Paula-North Goa,Goa
Al-Zaiqa,12,Standard Room AC,Durg,INDIA,Durg Railway Station,Chhattisgarh
OYO Premium Candolim Holiday Village,15,Standard Room AC,Goa,INDIA,Candolim Beach-North Goa,Goa
Casa Paradiso,19,Deluxe Triple Room,Goa,INDIA,Panjim,Goa
Hotel Middle Town,22,Deluxe Non AC Room,Gandhinagar,INDIA,Pramukh Arcade,Gujarat
The Sidlon Residency,22,Deluxe,Gangtok,INDIA,Chandmari,Sikkim
OYO Rooms Snow View,15,Standard Room Non AC,Dharamshala,INDIA,Mcleodganj Mall,HimachalPradesh
OYO Rooms Bhagsu Temple,15,Standard Room,Dharamshala,INDIA,Mcleodganj,HimachalPradesh
Sukhim Guest House,9,Double Bed Room,Gangtok,INDIA,Central Gangtok,Sikkim
Farmagudi Residency,4,Standard Room AC,Goa,INDIA,South Goa Vicinity,Goa
Pause Dwelling Guest house,15,Standard,Dharamshala,INDIA,Mcleodganj Mall,HimachalPradesh
Hotel Zaayka,8,Single Non AC,Durgapur,INDIA,Bidhan Nagar,WestBengal
Hotel AT Residency,26,Deluxe Room,Ghaziabad,INDIA,East Delhi-Kaushambi,UttarPradesh
Rousha Inn,38,Superior Room,Ghaziabad,INDIA,East Delhi-Kaushambi,UttarPradesh
Baywatch Resort,90,Deluxe Room,Goa,INDIA,Colva Beach-South Goa,Goa
"Royal Mirage Beach Resort, Candolim",45,Superior Room,Goa,INDIA,Candolim Beach-North Goa,Goa
OYO Premium Morjim Beach Road,0,Standard Room AC,Goa,INDIA,Morjim Beach-North Goa,Goa
Nagoa Grande,65,Superior Room,Goa,INDIA,Arpora-North Goa,Goa
Inn Anjuna,12,Standard Non A/C Room,Goa,INDIA,Anjuna Beach-North Goa,Goa
Mcleodganj Homestay,7,Deluxe Room,Dharamshala,INDIA,Dharamkot,HimachalPradesh
Valentine's Retreat,27,One Bedroom Suite,Goa,INDIA,Candolim Beach-North Goa,Goa
Radhika Beach Resort,42,Deluxe Comfort,Diu,INDIA,Nagoa Beach,DamanandDiu
Hotel Isher International,16,A/c Executive Suite,Gandhinagar,INDIA,Airport Gandhi Nagar Highway.,Gujarat
Star of the Sea Resort,19,Standard room,Goa,INDIA,South Goa Vicinity,Goa
Manvin's Inn,15,Deluxe Poolside Non A/C Room,Goa,INDIA,Calangute Beach-North Goa,Goa
Hotel Goverdhan,18,Classic AC Room,Fatehpur Sikri,INDIA,Fatehpur Sikri,UttarPradesh
Usha Valentino Hotel,24,AC Room,Eluru,INDIA,N R Pet,AndhraPradesh
Nova Suvit Hotel,15,Suite Room,Goa,INDIA,Calangute Beach-North Goa,Goa
Riverside Regency Resort,80,Standard AC Room,Goa,INDIA,Baga Beach-North Goa,Goa
OYO Premium Gangtok Mainline Stand,15,Standard Room Non AC,Gangtok,INDIA,Deorali,Sikkim
Hotel Panchsheel,33,Non A/c Room,Goa,INDIA,Margao-South Goa,Goa
Hotel Pushpa Vilas-Vaishali,12,Super Deluxe Room,Ghaziabad,INDIA,Vaishali-Sahibabad,UttarPradesh
Vaidya Holidays,4,Deluxe Room AC,Ganpatipule,INDIA,Ganpatipule,Maharashtra
"Royal Mirage Beach Resort, Morjim",8,Deluxe Room,Goa,INDIA,Morjim Beach-North Goa,Goa
Shalai The Cliff Resort,10,Deluxe Double Room,Goa,INDIA,Vagator Beach-North Goa,Goa
Surbhi Guest House,11,Standard Room,Dharamshala,INDIA,Lower Dharamshala,HimachalPradesh
Varada Homestay,1,Suite Family,Dharamshala,INDIA,Lower Dharamshala,HimachalPradesh
Neelam's The Grand,150,Honeymoon Suite,Goa,INDIA,Calangute Beach-North Goa,Goa
Hotel Krishna Sagar,32,Deluxe Room,Ghaziabad,INDIA,Raj Nagar,UttarPradesh
Quinta da Graca,5,Manga,Goa,INDIA,North Goa Vicinity,Goa
Hotel Raj Palace,24,Single Non A/c Room,Dibrugarh,INDIA,Marwari Patty,Assam
OYO Rooms Facing Mandovi River,15,Standard Room AC,Goa,INDIA,Panjim,Goa
Hotel Inclover Dharamshala,15,Suite Room,Dharamshala,INDIA,Lower Dharamshala,HimachalPradesh
Hotel Meru,26,Deluxe Room,Gangtok,INDIA,Central Gangtok,Sikkim
OYO Premium Facing Baga River,15,Standard Room AC,Goa,INDIA,Baga Beach-North Goa,Goa
The Oriental,20,Deluxe Room,Gangtok,INDIA,Central Gangtok,Sikkim
Hotel Cambean,4,Executive,Durg,INDIA,Durg Railway Station,Chhattisgarh
Park Prime Residency,48,Prime Room,Digha,INDIA,New Digha,WestBengal
Hotel Bansi Dwarka,20,Double Bedroom,Dwarka,INDIA,Near Dwarkadhish Temple,Gujarat
OYO Elite Baga Arpora Road,15,Standard Room AC,Goa,INDIA,Anjuna Beach-North Goa,Goa
Azzaro Resort & Spa,38,Suite Room,Diu,INDIA,Fofrara-Fudam,DamanandDiu
Hotel Shri Khedapati International,46,Deluxe,Dewas,INDIA,Sivaji Nagar,MadhyaPradesh
Delta Residency,22,Deluxe Suite,Goa,INDIA,Calangute Beach-North Goa,Goa
Gandhis House,15,Standard Room Non AC,Dharamshala,INDIA,Mcleodganj Mall,HimachalPradesh
Hotel Fairview,15,Standard,Gangtok,INDIA,Central Gangtok,Sikkim
OYO Rooms Near Nerul Hospital,0,Standard Room,Goa,INDIA,Candolim Beach-North Goa,Goa
Premier Inn Goa Anjuna,130,Premier Room,Goa,INDIA,Anjuna Beach-North Goa,Goa
Blue Ocean Resort & Spa by Apodis,24,Tropical Garden View Villa,Ganpatipule,INDIA,Ganpatipule,Maharashtra
Dream Vision Paying Guest House,0,Deluxe Room Non AC (1 Double Bed),Diu,INDIA,Dr. Kelkar Road,DamanandDiu
Apple House,8,Superior Room,Goa,INDIA,Arpora-North Goa,Goa
Hotel Sapphire,15,Classic Room,Dharamshala,INDIA,Mcleodganj Mall,HimachalPradesh
OYO Rooms Calangute Beach Holiday Street,15,Standard Room AC,Goa,INDIA,Calangute Beach-North Goa,Goa
Hotel Madhulika Inn,18,Deluxe,Dhanbad,INDIA,Bartand,Jharkhand
Agonda Heritage,7,Standard Huts (with garden view),Goa,INDIA,South Goa Vicinity,Goa
Nouvelle Guest House,3,Premium Room,Gangtok,INDIA,Deorali,Sikkim
Hotel Gandhis Paradise,16,Deluxe Suites Valey View,Dharamshala,INDIA,Dharamkot,HimachalPradesh
OYO Rooms Vaishali Mahagun Metro Mall,15,Standard Room AC,Ghaziabad,INDIA,Vaishali-Sahibabad,UttarPradesh
OYO Premium Vagator,15,Standard Room AC,Goa,INDIA,Anjuna Beach-North Goa,Goa
OYO Rooms Near GSPL,15,Standard Room AC,Gandhinagar,INDIA,Sector-26,Gujarat
Hotel Natraj,45,Deluxe Room,Dibrugarh,INDIA,Hanuman Singhania Road,Assam
Vailankanni Cottage Mandrem,11,Bamboo Huts,Goa,INDIA,North Goa Vicinity,Goa
OYO Premium Ghaziabad Opp Ghanta Ghar,15,Standard Room AC,Ghaziabad,INDIA,Raj Nagar,UttarPradesh
West Land Hotel,36,Executive Room,Erode,INDIA,Near Bus Terminus,TamilNadu
Hotel Golden Heights,17,Deluxe Room,Gangtok,INDIA,Central Gangtok,Sikkim
Le Pearl Goa Resort & Spa,54,Deluxe Room - with Balcony,Goa,INDIA,Vagator Beach-North Goa,Goa
Abhishek Beach Resort and Spa,43,AC Double Deluxe Sea View Room,Ganpatipule,INDIA,Ganpatipule,Maharashtra
Royal Huts,3,Royal Huts,Diveagar,INDIA,Diveagar Beach,Maharashtra
Spring Valley Resort,25,Deluxe Room,Dharamshala,INDIA,Bhagsunag,HimachalPradesh
Athi Resorts,10,Non A/c Room,Goa,INDIA,Bogmalo,Goa
Hotel Khangsar Villa,7,Super Deluxe,Gangtok,INDIA,Developement Area,Sikkim
Temi House,8,Premium Room,Gangtok,INDIA,Paljor Stadium Road,Sikkim
Hotel Potala,25,Deluxe Room,Gangtok,INDIA,Central Gangtok,Sikkim
OYO Premium Amdo Golai Gangtok,15,Standard Room Non AC,Gangtok,INDIA,,Sikkim
OYO Premium Above MG Marg Gangtok,15,Standard Non AC,Gangtok,INDIA,Central Gangtok,Sikkim
Hotel Hungry Jack,17,Super Deluxe Room,Gangtok,INDIA,Central Gangtok,Sikkim
Rasal Beach resort,28,Deluxe Room,Diu,INDIA,Nagoa Beach,DamanandDiu
Hotel Dooars Mountain,46,Standard Non AC,Dooars,INDIA,Alipur Duar,WestBengal
Green Heaven Homestays,10,Standard,Dooars,INDIA,Alipur Duar,WestBengal
The Royal Heritage Hotel (Sonam Palgey),30,Standard Room Non AC,Gangtok,INDIA,Deorali,Sikkim
WelcomHeritage Panjim Pousada,9,Deluxe Room,Goa,INDIA,Panjim,Goa
Planet Hollywood Beach Resort,115,Superior Garden View,Goa,INDIA,Majorda Beach-South Goa,Goa
Khangchendzonga Tourist Villa,24,Deluxe Room AC,Gangtok,INDIA,Rumtek,Sikkim
Shivalay Hotel - Dharamkot,10,Deluxe,Dharamshala,INDIA,Dharamkot,HimachalPradesh
Hotel City Surya,19,Deluxe Room AC,Gaya,INDIA,Civil Lines/ Bus Stand,Bihar
Lake View Huts Tourist Resort,22,Semi - Deluxe Room,Faridabad,INDIA,Surajkund,Haryana
Banerjee Inn- Bengal Ambuja Complex,23,Standard Room AC,Durgapur,INDIA,City Centre,WestBengal
Madachya Banat,15,AC Couple,Ganpatipule,INDIA,Ganpatipule,Maharashtra
Hotel Shiv Grand,39,Club Traveller,Gandhidham,INDIA,Sector-8,Gujarat
Hotel The Krishna,18,Standard,Dharamshala,INDIA,Mcleodganj Mall,HimachalPradesh
Hotel Diamond Inn,22,Bronze Room,Faridabad,INDIA,Neelam Bata Road,Haryana
OYO Premium Perto do Rio Morjim,15,Standard Room AC,Goa,INDIA,Morjim Beach-North Goa,Goa
Hotel JP,48,Double Bed,Digha,INDIA,New Digha,WestBengal
OYO Premium Ashvem Beach Road Side Cottages,0,Standard Room AC,Goa,INDIA,North Goa Vicinity,Goa
The Planters Home- Mangan (50 Km from Gangtok),0,Deluxe,Gangtok,INDIA,Mangan,Sikkim
Rising waves Guest House,12,A/c Apartment,Goa,INDIA,Candolim Beach-North Goa,Goa
Imperial 9,20,Deluxe,Dharamshala,INDIA,Mcleodganj Mall,HimachalPradesh
Keys Ronil Resort,125,Keys Room,Goa,INDIA,Baga Beach-North Goa,Goa
Awesome Resort,60,Cottage Room,Faridabad,INDIA,Faridabad-Sohna Road,Haryana
OYO Premium The New Orchid,15,Deluxe Room,Gangtok,INDIA,Developement Area,Sikkim
OYO Rooms Near Taxi Stand,15,Standard Room Non AC,Dharamshala,INDIA,Mcleodganj,HimachalPradesh
OYO Rooms Ozran Vagator Beach Cottages,15,Standard Room AC,Goa,INDIA,Vagator Beach-North Goa,Goa
Hotel Crystal Palace Gangtok,20,Deluxe Room,Gangtok,INDIA,Arithang,Sikkim
Ocean Myst Face1,10,2 Bed Room,Goa,INDIA,Bogmalo,Goa
OYO Premium Vagator Beach,15,Standard Room AC,Goa,INDIA,Anjuna Beach-North Goa,Goa
Casa Vagator,25,Casa Luxury,Goa,INDIA,Vagator Beach-North Goa,Goa
Hotel Upper City Heart,5,Standard Room,Dharamshala,INDIA,Naddi Village,HimachalPradesh
Sinclairs Retreat Dooars,69,Superior Room,Dooars,INDIA,Chalsa,WestBengal
Abha Hotel,50,A/C Room,Faizabad,INDIA,Chowk,UttarPradesh
iLodge @ Calangute,44,Superior King,Goa,INDIA,Calangute Beach-North Goa,Goa
Hotel Comfort Inn,0,Deluxe Room,Gangtok,INDIA,Central Gangtok,Sikkim
OYO Rooms Colva Beach Lane,15,Standard Room AC,Goa,INDIA,Colva Beach-South Goa,Goa
Hotel Rainbow-Ghaziabad,48,Queen Room,Ghaziabad,INDIA,Raj Nagar,UttarPradesh
Hotel BellaCasa Amoeba,8,Deluxe Room,Gangtok,INDIA,Chandmari,Sikkim
Hotel Sunshine Inn,30,Deluxe Room,Ghaziabad,INDIA,East Delhi-Kaushambi,UttarPradesh
Hotel Mount Siniolchu,30,Deluxe Room,Gangtok,INDIA,Chandmari,Sikkim
Hotel Triund Heights,20,Premium Room,Dharamshala,INDIA,Bhagsunag,HimachalPradesh
OYO Rooms Dabolim Near Dominos,15,Standard Room AC,Goa,INDIA,South Goa Vicinity,Goa
Hotel Sagorika,19,Super Deluxe Room,Gangtok,INDIA,Arithang,Sikkim
OYO Rooms Behind Just Lobo's Calangute,0,Standard Room AC,Goa,INDIA,Calangute Beach-North Goa,Goa
Sambyal Wings,9,Semi Deluxe Room,Dharamshala,INDIA,Bhagsunag,HimachalPradesh
Mayem Lake View Resort,17,Standard Non AC,Goa,INDIA,North Goa Vicinity,Goa
The Avalon Hotel,24,Deluxe Room,Durg,INDIA,Durg Railway Station,Chhattisgarh
Hotel Mahek,35,Non AC Ground Floor,Digha,INDIA,New Digha,WestBengal
Goan Holiday Resort,20,Standard A/C,Goa,INDIA,Calangute Beach-North Goa,Goa
Delta House,4,Standard Room AC,Goa,INDIA,Calangute Beach-North Goa,Goa
Hotel Ekant,11,Deluxe Room,Faridabad,INDIA,Neelam Bata Road,Haryana
Hotel Vishal,28,AC Room,Gaya,INDIA,Gaya Junction/ Station Road,Bihar
OYO Rooms Sector 16 Gandhinagar,15,Standard Room AC,Gandhinagar,INDIA,Sector 16,Gujarat
Hotel Castle Bay,15,Standard Room,Ghaziabad,INDIA,Sector 62-Noida,UttarPradesh
OYO Rooms Candolim Nerul Road,15,Standard Room AC,Goa,INDIA,Candolim Beach-North Goa,Goa
Country Inn And Suites-Sahibabad,216,Superior Room Best Available Rate,Ghaziabad,INDIA,Vaishali-Sahibabad,UttarPradesh
Coconut Creek Resort,20,Standard A/c Room,Goa,INDIA,Bogmalo,Goa
Hotel Ashoka International,33,Economy,Giridih,INDIA,Railway Station/ Bus Stand,Jharkhand
Senthil Residency,22,Executive Room,Dindigul,INDIA,Near Bus Terminus,TamilNadu
Zimkhang Guest House,4,Deluxe Room,Gangtok,INDIA,Paljor Stadium Road,Sikkim
OYO Rooms Candolim Beach Villa,5,Standard Room,Goa,INDIA,Candolim Beach-North Goa,Goa
Hotel Anuj Regency,42,Standard Room,Dharamshala,INDIA,Bhagsunag,HimachalPradesh
Tranquil Nest,10,Wooden Cottage,Dindigul,INDIA,,TamilNadu
Hotel Royal Regency,41,Premium Room,Ghaziabad,INDIA,Raj Nagar,UttarPradesh
Vista Rooms at Baga Beach Road,33,Standard Room AC,Goa,INDIA,Baga Beach-North Goa,Goa
Central Hill Resort,28,Deluxe Room,Gangtok,INDIA,Central Gangtok,Sikkim
Hotel Centre Point,13,Super Deluxe Rooms,Dharamshala,INDIA,Lower Dharamshala,HimachalPradesh
