property_name,room_count,room_type,city,country,locality,state
Hotel Jivan Jyoti,9,Standard Room,Kalimpong,INDIA,Rishi Road-Highway 12,WestBengal
OYO Premium Kalimati Road Jamshedpur,15,Premium Room,Jamshedpur,INDIA,,Jharkhand
OYO Rooms Bera Road,15,Standard Room AC,Jaisalmer,INDIA,,Rajasthan
Grand Kakinada by GRT Hotels,85,Business Room,Kakinada,INDIA,Cinema Road,AndhraPradesh
Hotel Gorakh Haveli,17,Deluxe,Jaisalmer,INDIA,Near Jaisalmer Golden Fort,Rajasthan
Mohan Niwas,5,Deluxe Ac Room,Jodhpur,INDIA,Ratanada Petrol Pump,Rajasthan
Hotel Navrang Kalka,8,Super Deluxe Room,Kalka,INDIA,Near Kalka Railway Station,Haryana
Hotel Gopi Nivas Grand,70,Standard Non A/c Room,Kanyakumari,INDIA,Near Vivekananda Rock Memorial,TamilNadu
Polo Inn Guest House,0,AC Room,Jodhpur,INDIA,Paota,Rajasthan
Hotel The Vaishnodevi,40,Royal Suite,Katra,INDIA,Reasi Road,JammuandKashmir
Vista Rooms at Jaisalmer Fort,20,Standard Room AC,Jaisalmer,INDIA,Near Jaisalmer Golden Fort,Rajasthan
Kumaran Guest House- Karaikal,19,Double Bed Room,Karaikal,INDIA,Dr. Ambedkar Street,TamilNadu
Manvar Desert Camp,40,Standard Camp,Jodhpur,INDIA,,Rajasthan
The Blue House Guest House,21,Standard,Jodhpur,INDIA,Old City,Rajasthan
Kavvayi Beach House,8,Deluxe Room Non AC,Kannur,INDIA,Payyannur,Kerala
Sadhoo Inn,20,Deluxe Room,Kannur,INDIA,Kannur Railway Station,Kerala
Hotel Prem Plaza,20,Executive Room,Karnal,INDIA,Near Railway Station,Haryana
Raman Palace,20,Economy Room,Jodhpur,INDIA,Ratanada Petrol Pump,Rajasthan
Thai Resort,6,Standard Room Non AC,Kannur,INDIA,Near Parassinikadavu Sri Muthappan Temple,Kerala
Hotel Manglam,9,Deluxe Room,Jaisalmer,INDIA,City Centre,Rajasthan
Hotel Arul Inn,30,Deluxe Room,Karaikal,INDIA,Nagapattinam Highway,TamilNadu
OYO Rooms Near Jaisalmer Sunset Point,15,Standard Room AC,Jaisalmer,INDIA,City Centre,Rajasthan
OYO Premium Near Civil Hospital Karnal,15,Standard Room AC,Karnal,INDIA,Kunjpura Road,Haryana
Utsav Hotel,20,Deluxe Room,Jodhpur,INDIA,Near Railway Station,Rajasthan
Hotel Ajanta Haveli,22,Deluxe Room,Jaisalmer,INDIA,City Centre,Rajasthan
Singhvi's Haveli,11,Standard Room AC,Jodhpur,INDIA,Old City,Rajasthan
Hotel Paradise Jaisalmer,23,Standard A/C,Jaisalmer,INDIA,Inside Jaisalmer Fort,Rajasthan
Mangal Haveli Guest House,12,Standard Room Non AC,Jodhpur,INDIA,Old City,Rajasthan
Subash Guest House,7,Double Room,Katra,INDIA,City Bus Terminus,JammuandKashmir
Vansh Villa,11,Deluxe Ac,Jaisalmer,INDIA,City Centre,Rajasthan
Hotel Rangyul Kargil,10,Standard Room,Kargil,INDIA,,JammuandKashmir
The Citi Inn Hotel,35,Single Room,Jamshedpur,INDIA,Mango,Jharkhand
Club Mahindra Jaisalmer,0,Standard Room,Jaisalmer,INDIA,Near Jaisalmer Golden Fort,Rajasthan
Hotel Sky Palace,25,Standard Room Non AC,Kannur,INDIA,Kannur Railway Station,Kerala
Prakriti Kasauli,3,Deluxe Room,Kasauli,INDIA,Sanawar Hills,HimachalPradesh
Hotel Maharaja Residency,30,Super Deluxe Room,Jalandhar,INDIA,Near Railway Road,Punjab
S.S.K. INN,75,Double Bed AC,Kanchipuram,INDIA,Gandhi Road,TamilNadu
OYO Rooms Kasauli Hills View,15,Standard Room AC,Kasauli,INDIA,Garkhal,HimachalPradesh
OYO Rooms NIFT Near Parassinikadavu Temple Kannur,15,Standard Room AC,Kannur,INDIA,,Kerala
OYO Premium Valley View Kasauli,15,Premium Room,Kasauli,INDIA,Sanawar Hills,HimachalPradesh
The Ummed (Formerly The Taj Gateway),88,Jodhpur Deluxe Room,Jodhpur,INDIA,Jodhpur Suburbs,Rajasthan
Heritage Kuchaman Haveli,20,Deluxe Room,Jodhpur,INDIA,Old City,Rajasthan
Kanha Village Eco Resort,28,Standard Room - Air Cooled,Kanha,INDIA,Village Bodachhapri,MadhyaPradesh
Hotel Grand Horizon,15,Deluxe Room,Jalandhar,INDIA,Near General Bus Terminus,Punjab
Kaav Safari Lodge,4,Superior Room,Kabini,INDIA,Kabini Backwater,Karnataka
New Blue Homes - Kakinada,25,Executive A/C,Kakinada,INDIA,RTC Complex Road,AndhraPradesh
Hari Niwas,24,Deluxe Ac Room,Jodhpur,INDIA,Ratanada Petrol Pump,Rajasthan
Mandore Luxury Guest House,16,Garden Cottage,Jodhpur,INDIA,Mandore,Rajasthan
Hotel Swastik,25,Deluxe A/C Room,Jammu,INDIA,Raghunath Temple,JammuandKashmir
Rainbow Suites,43,Standard Non Ac Room,Kannur,INDIA,Kannur Railway Station,Kerala
Suprabha Residency,24,Deluxe A/C Room,Kalasa,INDIA,Kalasa,Karnataka
A Home for Nature Lovers,20,A/C Deluxe Rooms,Jambughoda,INDIA,Sarod,Gujarat
Raj Residency,40,Classy Room,Kasaragod,INDIA,Kanhangad,Kerala
Nirali Dhani,34,Tent Room,Jodhpur,INDIA,Jodhpur Suburbs,Rajasthan
Hotel Shri Ram Excellency,24,Deluxe Room,Jodhpur,INDIA,Residency Road,Rajasthan
Hotel City Heart,7,Deluxe Non AC Room,Jaisalmer,INDIA,Near Jaisalmer Golden Fort,Rajasthan
Anantya Resort,21,Chakra Cottages,Kanyakumari,INDIA,Chittar Lake,TamilNadu
Kanha Resort,16,AC Cottge,Kanha,INDIA,Moccha,MadhyaPradesh
Hotel Sky Park,25,Non AC Standard Room,Kannur,INDIA,Mattannur,Kerala
Vista Rooms at Airport Road,20,Standard Room,Jodhpur,INDIA,Ratnada,Rajasthan
Suryagarh Heritage,5,Royal Suite,Jodhpur,INDIA,Ratnada,Rajasthan
Lords Inn Jodhpur,50,Deluxe Room,Jodhpur,INDIA,Ratanada Petrol Pump,Rajasthan
STARiHOTELS Kanker,0,Village Stay,Kanker,INDIA,Kanker,Chhattisgarh
STARiHOTELS CV Singh Colony,20,Standard Non A/C,Jaisalmer,INDIA,City Centre,Rajasthan
Kumaran Residency Karaikal,19,Double Bed,Karaikal,INDIA,Dr. Ambedkar Street,TamilNadu
Hotel Marina Mahal,16,Deluxe Room,Jaisalmer,INDIA,City Centre,Rajasthan
Hotel Jaya Residency,54,Standard Non A/C,Kakinada,INDIA,Subhash Road,AndhraPradesh
Hotel Dhwani,10,Deluxe Room,Jodhpur,INDIA,Mandore,Rajasthan
Hilarity Inn,34,Executive Rooms,Kanchipuram,INDIA,Padapai,TamilNadu
Hotel Santosh Raj,12,Deluxe A/C room,Kanpur,INDIA,The Mall,UttarPradesh
Hotel Royal Park,84,Business Room,Kakinada,INDIA,Cinema Road,AndhraPradesh
Sparsa Resort,48,Deluxe Room,Kanyakumari,INDIA,Near Railway Terminus,TamilNadu
Hotel Asia Vaishno Devi,40,Family Room,Katra,INDIA,Jammu Road,JammuandKashmir
Residency Centre Point Guest House,6,Standard Non Ac,Jaisalmer,INDIA,City Centre,Rajasthan
Hotel Mandakini Palace,21,Superior Room,Kanpur,INDIA,Civil Lines,UttarPradesh
Hotel Yashwee International,35,Deluxe,Jamshedpur,INDIA,Sakchi-Near City Bus Terminus,Jharkhand
OYO Rooms Station Road Jamshedpur,15,Standard Room AC,Jamshedpur,INDIA,,Jharkhand
Hotel Red-Oak,16,Deluxe Non AC,Jodhpur,INDIA,Mandore,Rajasthan
Kanchi Heritage Inn,20,Standard Single Non AC Room,Kanchipuram,INDIA,Gandhi Road,TamilNadu
Akash Beach Hotel,10,AC Room,Kashid,INDIA,Kashid Beach,Maharashtra
Beach View Homestay,6,Standard Non Ac Room,Kannur,INDIA,Thottada,Kerala
Hotel Parvathi Residency,21,Deluxe A/C  Room,Kanyakumari,INDIA,Near Nagercoil,TamilNadu
OYO Rooms Near Gandhi Chowk Jaisalmer,15,Standard Room AC,Jaisalmer,INDIA,City Centre,Rajasthan
Himmatgarh Palace,40,Deluxe Room,Jaisalmer,INDIA,City Centre,Rajasthan
Hotel Baboo Soorya,38,Double AC,Kanchipuram,INDIA,Gandhi Road,TamilNadu
Hotel Panchshil,50,Deluxe AC Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Hotel Green Park,15,Family Suite,Kodaikanal,INDIA,Convent Road,TamilNadu
Les 3 Elephants,11,Standard Cottage,Kochi,INDIA,Cherai Beach,Kerala
OYO Premium Sarat Bose Road,15,Standard Room AC,Kolkata,INDIA,Sarat Bose Road,WestBengal
Kongu Residency,15,Super Deluxe,Kodaikanal,INDIA,Convent Road,TamilNadu
Hotel Rajat Executive,27,Standard AC Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
The Chardham Camp Guptkashi,25,Deluxe Tent,Kedarnath,INDIA,Guptkashi,Uttaranchal
Hotel Laal's Inn,36,Standard Room AC,Kochi,INDIA,Vyttila,Kerala
Palm Grove Service Villa,14,Standard Room AC,Kochi,INDIA,Kalamassery,Kerala
HillScape Khandala,15,A/C Executive Room,Khandala,INDIA,khandala,Maharashtra
Vista Rooms at Grand Palace,35,Standard Room Non AC,Kodaikanal,INDIA,Fern Hill Road,TamilNadu
Hotel Sitara International,20,Non A/C Deluxe Room,Katra,INDIA,Railway Road,JammuandKashmir
Eden Garden Heritage Homestay,3,Superior Room,Kochi,INDIA,Fort Kochi,Kerala
Kadaloram Beach Resort,4,Deluxe Cottages A/C,Kochi,INDIA,Cherai Beach,Kerala
Infinity Resort,18,Wooden Cottages,Kaziranga,INDIA,Kaziranga National Park,Assam
Reds Residency Homestay,7,Luxury Double Room,Kochi,INDIA,Fort Kochi,Kerala
OYO Premium Southern Plaza,15,Standard Room AC,Kolkata,INDIA,South Kolkata,WestBengal
Hotel Prakash,12,Deluxe Room,Kinnaur,INDIA,Sangla,HimachalPradesh
Hotel Aucktong,20,Four Bedded Room,Kinnaur,INDIA,Kalpa,HimachalPradesh
Heaven Place FE 137,10,Standard,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
Hotel Katra Continental,36,Super Deluxe Room,Katra,INDIA,Jammu Road,JammuandKashmir
OYO Premium Family Getaway Sivanadi Road,15,Standard Room,Kodaikanal,INDIA,Fern Hill Road,TamilNadu
Eighth Bastion - A CGH Earth Group,19,Standard Room,Kochi,INDIA,Fort Kochi,Kerala
Hotel Wood Palace,31,Queen Deluxe,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Hotel Hill View,10,Deluxe Room,Kodaikanal,INDIA,Naidupuram,TamilNadu
Le Meridien Kochi,0,Deluxe,Kochi,INDIA,Vyttila,Kerala
Geo Holiday Home - Fort Kochi,3,Deluxe Room AC,Kochi,INDIA,Fort Kochi,Kerala
Hotel Varun,40,Deluxe A/C Room,Katra,INDIA,Kashmir Road,JammuandKashmir
Varaha Valley,44,Deluxe Room,Kodaikanal,INDIA,Convent Road,TamilNadu
Rossitta Wood Castle,15,Semi Deluxe,Kochi,INDIA,Fort Kochi,Kerala
The Dukes Retreat,80,Deluxe Room,Khandala,INDIA,Mumbai Pune Expressway,Maharashtra
Hotel Heritage,50,Executive AC,Kolkata,INDIA,Airport Zone,WestBengal
Hotel Dolphin,55,Deluxe Room,Katra,INDIA,Railway Road,JammuandKashmir
Master Comfort Inn,18,1 Bedroom Apartment,Kochi,INDIA,MG Road,Kerala
Hotel Stone Palace,14,Deluxe Room,Kodaikanal,INDIA,Naidupuram,TamilNadu
Radisson Blu Kochi,150,Superior Room,Kochi,INDIA,MG Road,Kerala
Hotel Kapoor Palace,20,four bedded room (a/c),Katra,INDIA,City Centre-Main Market,JammuandKashmir
Hotel Jamuna Palace,20,Standard Non Ac Room,Katra,INDIA,City Centre-Main Market,JammuandKashmir
Hotel K Square,24,Standard Ac Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
OYO Rooms Howrah Railway Station,15,Standard Room AC,Kolkata,INDIA,Howrah,WestBengal
Manakkil Hotel,22,Standard AC Room,Kochi,INDIA,MG Road,Kerala
"Trident, Cochin",85,Superior Room,Kochi,INDIA,Willingdon Island,Kerala
Happy Camper - Kitkat,17,Superior Room,Kochi,INDIA,Fort Kochi,Kerala
Treebo Platinum,27,Standard A/C,Kolkata,INDIA,Salt Lake Sector 1,WestBengal
GRT Nature Trails Kodaikanal,40,Rock Cabin,Kodaikanal,INDIA,Attuvampatty,TamilNadu
Vista Rooms At Telephone Bhavan,31,Standard Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
NexGen Guest House BL 135,5,Standard AC,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
Hotel Aashirwad,26,Super Deluxe Four Bedded Room,Katra,INDIA,Jammu Katra Highway,JammuandKashmir
OYO Rooms Salt Lake Sector III IB Block,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
Diana Heights - Airport Hotel,43,Standard,Kochi,INDIA,Cochin International Airport,Kerala
Hotel Venkateshwara,21,Standard Non AC,Kolkata,INDIA,Kalighat-Southern Avenue,WestBengal
OYO Apartments Salt Lake Sector V Near Webel,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 5,WestBengal
Keys Hotel,151,Keys Room,Kochi,INDIA,Vyttila,Kerala
Ceylon Bake House - Woodlands Junction,30,Standard Room AC,Kochi,INDIA,MG Road,Kerala
Country Club Valley Vista,36,Twin Room,Kodaikanal,INDIA,Near Christian College-Prakasapuram,TamilNadu
Bay Watch Beach Homes,13,Standard AC Room,Kochi,INDIA,Cherai Beach,Kerala
Tri-Star Regency,36,Premium AC Room,Kochi,INDIA,Ernakulam South Railway Station,Kerala
OYO Rooms Kolkata Airport Dum Dum,15,Standard Room AC,Kolkata,INDIA,Airport Zone,WestBengal
AMR Katra,33,Shrine View Room,Katra,INDIA,Jammu Road,JammuandKashmir
OYO Rooms Salt Lake DA Block Sector 1,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 1,WestBengal
Hotel Meridian Katra,25,Standard Room Non AC,Katra,INDIA,Railway Road,JammuandKashmir
Hotel Vishal,80,Deluxe AC Room,Katra,INDIA,Kashmir Road,JammuandKashmir
Hotel The Golden Castle,19,Non AC Deluxe,Katra,INDIA,Kashmir Road,JammuandKashmir
Hotel Ritz International,11,AC Deluxe Double Room,Kochi,INDIA,Perumbavoor,Kerala
A1 Sun View Hotel,15,Standard Room,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
OYO Rooms Jawaharlal Nehru Stadium Kochi,15,Standard Room AC,Kochi,INDIA,MG Road,Kerala
OYO Rooms Taltala Kolkata,15,Standard Room,Kolkata,INDIA,AJC Bose Road,WestBengal
OYO Rooms Ernakulam Broadway,0,Standard Room,Kochi,INDIA,MG Road,Kerala
Sea Lagoon Health Resort,40,Suite Royal,Kochi,INDIA,Cherai Beach,Kerala
OYO Premium Corporate Getaway Observatory Road,15,Standard Room,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
STARiHOTELS Tararani Chowk Kolhapur,29,Luxury Ac,Kolhapur,INDIA,,Maharashtra
Brunton Boatyard - A CGH Earth Group,26,Standard Sea Facing Room,Kochi,INDIA,Fort Kochi,Kerala
OYO Premium Adlux Convention Centre Extension,15,Standard Room,Kochi,INDIA,Cochin International Airport,Kerala
Hotel Parkash,15,Double Bedded Room - Non AC,Katra,INDIA,Near Banganga,JammuandKashmir
Bright Heritage,15,Superior Room,Kochi,INDIA,Fort Kochi,Kerala
OYO Rooms MG Road Near Railway Station East Gate 1,15,Standard Room AC,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Hotel Sai Mahal,25,Double Bed Non Ac,Katra,INDIA,Yatra Parchi Counter,JammuandKashmir
Hotel Shivam,60,Executive Room,Kolkata,INDIA,Howrah,WestBengal
Cherai Beach Palace,8,Sea Face Luxury Rooms  AC,Kochi,INDIA,Cherai Beach,Kerala
Galaxy Hotel,22,Suite Executive,Kochi,INDIA,North Paravoor,Kerala
Jasmin Villa,3,Deluxe AC Room,Kochi,INDIA,Fort Kochi,Kerala
OYO Rooms Park Street,15,Standard Room AC,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Kodai Kings Park Hotel,27,Standard Room Non AC,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Vedanta Wake Up - Ernakulam North Station,25,Deluxe Room Non AC,Kochi,INDIA,Ernakulam South Railway Station,Kerala
Centaur Hotel,38,Standard Room AC,Kolkata,INDIA,Howrah,WestBengal
JCP Grand Inn,14,Standrad Room,Kodaikanal,INDIA,Chettiar Park,TamilNadu
Bali Resort,42,Super Deluxe Room,Katra,INDIA,Reasi Road,JammuandKashmir
Dayal Guest House,8,Deluxe Room,Katra,INDIA,Jammu Katra Highway,JammuandKashmir
Aquatic Floating Resort,10,Luxury Floating Room,Kochi,INDIA,Kumbalam South,Kerala
Snow View Guest House,6,Double Bed Room,Kausani,INDIA,View Point,Uttaranchal
Hotel Silver Springs,20,Royal Deluxe,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Hotel Dewland,21,Suite Room,Kochi,INDIA,Cochin International Airport,Kerala
Hotel Walson,0,Deluxe,Kolkata,INDIA,Park Street and Vicinity,WestBengal
The Kohli'S Inn,18,Deluxe Room AC,Katra,INDIA,Kashmir Road,JammuandKashmir
Himalaya Darshan Resort,8,Deluxe Cottage,Kausani,INDIA,Kausani,Uttaranchal
Riviera Suites,125,Standard Room,Kochi,INDIA,Ernakulam South Railway Station,Kerala
K Tree Hotel,26,Deluxe Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Guest Accomodation FE 229,5,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 3,WestBengal
Mirchi Bite B6 - 904 Service Apartment,0,Standard Room,Kolkata,INDIA,Kasba Zone,WestBengal
Hotel Trinity Temple Towers,18,Deluxe Room,Kodaikanal,INDIA,Naidupuram,TamilNadu
Town House Cochin,4,Deluxe Room AC,Kochi,INDIA,MG Road,Kerala
The International Hotel,40,Suite,Kochi,INDIA,MG Road,Kerala
NexGen Guest House AD 200,5,Standard AC,Kolkata,INDIA,Salt Lake Sector 1,WestBengal
OYO Rooms Salt Lake Sector 1 BC Block,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 1,WestBengal
Farm House,7,Cottage,Kodaikanal,INDIA,Chettiar Park,TamilNadu
Mishra Residency CL 208,2,Deluxe,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
STARiHOTELS Temple Road Khajuraho,0,Non AC Standard Room,Khajuraho,INDIA,Temple Road,MadhyaPradesh
Daya's Paradise Inn,7,Standard Room Non AC,Katra,INDIA,Yatra Parchi Counter,JammuandKashmir
Hotel Seema Palace,6,Double Room,Katra,INDIA,Jammu Katra Highway,JammuandKashmir
OYO Elite Minto Park,15,Standard Room AC,Kolkata,INDIA,Elgin Zone,WestBengal
OYO Apartments Salt Lake Near NIPS College,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 5,WestBengal
Elphinstone Residency,8,Standard Room,Kochi,INDIA,Fort Kochi,Kerala
OYO Rooms Airport Gate No 2,15,Standard Room AC,Kolkata,INDIA,Airport Zone,WestBengal
Hotel Highway Garden,21,Superior Room,Kochi,INDIA,Vyttila,Kerala
Hotel Atul Regency,47,Family Suite AC,Katra,INDIA,Jammu Road,JammuandKashmir
Hotel Anugraha Deluxe,20,Deluxe Non AC Rooms,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Sarmila Residency,15,Deluxe Room,Kodaikanal,INDIA,Annasalai,TamilNadu
Prakash Regency,15,Super Deluxe Room,Kinnaur,INDIA,Sangla,HimachalPradesh
Hotel Swing High,47,Executive Double,Katra,INDIA,Jammu Road,JammuandKashmir
Hotel Atithi International,25,Deluxe A/C Room,Katra,INDIA,Jammu Road,JammuandKashmir
Puthens Capitol Inn,10,Standard AC Room,Kochi,INDIA,MG Road,Kerala
Neemrana's Le Colonial,7,Heritage Splendour,Kochi,INDIA,Fort Kochi,Kerala
Crowne Plaza Kochi,269,Crown Plaza Executive Club Room,Kochi,INDIA,Vyttila,Kerala
Raintree Lodge,5,Standard Room,Kochi,INDIA,Fort Kochi,Kerala
Plaza Suites,29,Plaza Suites,Kochi,INDIA,Info Park-Kakkanad,Kerala
The Senate Hotel,32,Deluxe Room,Kochi,INDIA,MG Road,Kerala
Roopangarh Fort,23,Deluxe Room,Kishangarh,INDIA,Roopangarh,Rajasthan
OYO Rooms Salt Lake Sector 1,15,Standard Room,Kolkata,INDIA,Salt Lake Sector 1,WestBengal
OYO Rooms Ekdalia,0,Standard Room AC,Kolkata,INDIA,South Kolkata,WestBengal
Hotel Mayura Park,25,Standard Room Non AC,Kochi,INDIA,Ernakulam South Railway Station,Kerala
The Vaishnodevi IRCTC Guest House,28,A/C 2 bedded Deluxe Room,Katra,INDIA,Railway Road,JammuandKashmir
The Dunes Continental,52,Deluxe,Kochi,INDIA,MG Road,Kerala
The Center Hotel,21,Deluxe Room,Kochi,INDIA,MG Road,Kerala
Himvadi resorts,19,Deluxe Room,Kausani,INDIA,Kausani,Uttaranchal
Park Residency - Kakkanad,27,Deluxe Room,Kochi,INDIA,Info Park-Kakkanad,Kerala
OYO Premium Nature's Trail Golf Club Road,15,Standard Room,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Phils Residency,22,Deluxe Suite Room,Kochi,INDIA,Fort Kochi,Kerala
OYO Rooms International Airport Kolkata Gate No 2,15,Standard Room AC,Kolkata,INDIA,Airport Zone,WestBengal
Hotel Rifaya,28,Deluxe Room,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Treebo Stay,14,Deluxe Room,Kolkata,INDIA,Salt Lake Sector 5,WestBengal
Hotel Akash Deep,33,Deluxe Room,Kolkata,INDIA,Park Street and Vicinity,WestBengal
OYO Rooms Lake Road,15,Standard Room AC,Kolkata,INDIA,Kalighat-Southern Avenue,WestBengal
Hotel Atria,36,Executive Non AC,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
OYO Apartments Ballygunge Hazra,15,Standard Room AC,Kolkata,INDIA,South Kolkata,WestBengal
OYO Rooms Medical Hub Santoshpur,15,Standard Room,Kolkata,INDIA,Kasba Zone,WestBengal
Vista Rooms at Edappally,21,Standard Room,Kochi,INDIA,Vyttila,Kerala
Hotel Chalukya Deluxe,54,Non Ac Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Four Seasons Hotel Cochin,8,Standard Room,Kochi,INDIA,Fort Kochi,Kerala
The Atrium On The Greens,61,Deluxe Room,Katra,INDIA,Railway Road,JammuandKashmir
Sky Palace Homestay,4,Sea view room,Kochi,INDIA,MG Road,Kerala
OYO Rooms Salt Lake Sector 1 AD Block,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 1,WestBengal
OYO Premium Airport Lake Town Road,15,Premium Room,Kolkata,INDIA,Airport Zone,WestBengal
Hotel International,22,Non Ac Deluxe Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Neemrana's The Tower House,14,Heritage Old World,Kochi,INDIA,Fort Kochi,Kerala
Anifa Residency,10,Deluxe Room,Kodaikanal,INDIA,Convent Road,TamilNadu
United 21 Grassland,18,Executive,Kaziranga,INDIA,Kaziranga National Park,Assam
OYO Premium Joka Kolkata,10,Standard Room AC,Kolkata,INDIA,Kolkata Suburb,WestBengal
OYO Apartments Salt Lake DL BLOCK,15,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
Ramada Resort Cochin,42,Superior Room,Kochi,INDIA,Kumbalam South,Kerala
Fort Garden Residency,4,Standard AC Room,Kochi,INDIA,Fort Kochi,Kerala
Sailing Club House,2,Themara,Kochi,INDIA,Vyttila,Kerala
Hotel Shri Pallavi Residency,21,AC Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
Mercy Villa Home Stay - Diamond Class,8,Executive Room,Kochi,INDIA,Vyttila,Kerala
Flora Airport Hotel,60,Flora Suite,Kochi,INDIA,Cochin International Airport,Kerala
OYO Premium Rowland Road,15,Standard Room,Kolkata,INDIA,Park Street and Vicinity,WestBengal
Hotel Bhawani International,42,Deluxe A/C,Katra,INDIA,City Centre-Main Market,JammuandKashmir
Fort Muziris,6,SUPERIOR ROOM,Kochi,INDIA,Fort Kochi,Kerala
Hotel Uttarakhand,13,Standard Room,Kausani,INDIA,Kausani,Uttaranchal
Aquaria The Boutique Resort,24,Lake View,Kochi,INDIA,Vyttila,Kerala
Vista Rooms At Tararani Chowk,38,Standard Room,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
OYO Premium Exotic Lake View Upper Lake Road,15,Standard Room,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
Titans Holiday Home,15,Deluxe Room,Khandala,INDIA,Kune Village,Maharashtra
Hotel Prince,0,Super Deluxe Room,Keonjhar,INDIA,Near Govt Bus Stand,Orissa
Hotel S Park,42,Superior Room,Khammam,INDIA,Wyra Road,AndhraPradesh
Guest Accomodation CK 69,5,Standard Room AC,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
Mishra Residency CL 60,2,Standard,Kolkata,INDIA,Salt Lake Sector 2,WestBengal
Mahaluxmi Palace,15,Double Bed Room Non AC,Katra,INDIA,Reasi Road,JammuandKashmir
The Surya Hotel - Airport Hotel,36,Deluxe Superior Room,Kochi,INDIA,Cochin International Airport,Kerala
Hotel Anjay,23,Special Deluxe Room,Kodaikanal,INDIA,Annasalai,TamilNadu
Hill Palace Hotel & Spa,40,Deluxe Room,Kochi,INDIA,Vyttila,Kerala
H2O Serviced Apartment,3,3 Bedroom Luxury Apartment,Kochi,INDIA,Vyttila,Kerala
Hotel Kurunji Meridian,30,Standard Room,Kodaikanal,INDIA,Lawsghat Road,TamilNadu
Suman Guest House,8,Double Room,Katra,INDIA,Yatra Parchi Counter,JammuandKashmir
OYO Rooms Near Shahu Market Yard Kolhapur,15,Standard Room AC,Kolhapur,INDIA,,Maharashtra
Fort Heritage,12,Deluxe Room,Kochi,INDIA,Fort Kochi,Kerala
Hotel Katra Residency,20,Deluxe AC Room,Katra,INDIA,Near Banganga,JammuandKashmir
Cherai Beach Residency,6,AC Beach View Room (Ground Floor),Kochi,INDIA,Cherai Beach,Kerala
Hotel Casa Linda,8,Executive Room,Kochi,INDIA,Fort Kochi,Kerala
Comfort Tourist Home - Airport Hotel,18,Deluxe Room,Kochi,INDIA,Cochin International Airport,Kerala
Hotel Sanjeev Palace,28,Deluxe Room,Katra,INDIA,Near Banganga,JammuandKashmir
Ales Residency,88,Non AC Room,Kochi,INDIA,MG Road,Kerala
R.T Hill View,30,Standard Room,Kodaikanal,INDIA,Near Kodai Lake,TamilNadu
ILLAM Heritage Home,8,Family Room,Kochi,INDIA,MG Road,Kerala
"R S Corporate Guest House, BC35",6,Deluxe Room,Kolkata,INDIA,Salt Lake Sector 1,WestBengal
OYO Premium International Stadium Kaloor,15,Premium Room,Kochi,INDIA,Vyttila,Kerala
Vista Rooms at MM Street,20,Standard Room Non AC,Kodaikanal,INDIA,Fern Hill Road,TamilNadu
Hotel Vrishali Executive,57,Deluxe AC,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
The Buransh,18,Deluxe Room,Kausani,INDIA,Baijnath Road-Kausani,Uttaranchal
Jai Ambe Maa Guest House,12,Executive AC,Kolkata,INDIA,South Kolkata,WestBengal
OYO Premium Woodlands Junction,15,Premium Room,Kochi,INDIA,MG Road,Kerala
Hotel Kohinoor Square,32,Sandard A/C,Kolhapur,INDIA,New Shahupuri/Station Road,Maharashtra
